Asset Type,Product,ASSET TAG,Receiving date,Keyboard,SERIAL NUMBER,PO,MODEL,ERASED,CUSTOMER,CONDITION,DIAG,HARDWARE TYPE,CPU TYPE, CPU CORES,GPU CORES,MEMORY,HARDDRIVE,STATUS,CHARGER,INVENTORY
APPLE,"MacBook Air 13"" Apple",B5.39,25-Jul-24,,SL0Q44JYXL9,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",40,25-Jul-24,,SJ2KH72Q3KD,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",41,25-Jul-24,,SLQR4TH5KFQ,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.42,25-Jul-24,,SH5Y63X9F7X,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",43,25-Jul-24,,SGWC7F2TG6N,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.44,25-Jul-24,,SH6V3KHWMC6,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",45,25-Jul-24,,SDCJWVCVQJD,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",46, ,,SK3PP7CHY66,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",47,25-Jul-24,,SJK7KK6JQKP,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",48,25-Jul-24,,SKNWGT9LJDF,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",49,25-Jul-24,,SL6XTHPKT4C,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",50,25-Jul-24,,SDH27CN6G6H,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",51,25-Jul-24,,SHQJHPV2XNN,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",52,25-Jul-24,,SC9TCG2Q1JP,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",53,25-Jul-24,,SKJTPWM4C9P,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",54,25-Jul-24,,SK7TD9K1GKL,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",55,25-Jul-24,,SGG9X5WGJHN,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",56,25-Jul-24,,SKW0C4G4HGY,,A2681,COMPLETED,Wise,NEW,ADP000,0 M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",57,25-Jul-24,,SJ6DKFCNKF6,,A2681,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B1.58,25-Jul-24,,SJ6R1FW376H,,A2681,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",59,25-Jul-24,,SJ2M4R9T2HQ,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B1.60,25-Jul-24,,SC3H77K2H7D,,A2681,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",61,25-Jul-24,,SM5PH4F2FHF,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B1.62,25-Jul-24,,SH70T6FMGFV,,A2681,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",63,11-Apr-24,,SDDWPDHF62W,,A2992,COMPLETED,Uipath,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 18GB RAM 512GB SSD",M3 Pro,11,14,18,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F2.64,,,SM9NPH4VNLJ,,A2992,COMPLETED,Abnormal Security,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 18GB RAM 512GB SSD",M3 Pro,11,14,18,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F2.65,,,SL4XR6DM09P,,A2442,COMPLETED,Abnormal Security,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 18GB RAM 512GB SSD",M3 Pro,11,14,18,512,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",F2.66,,,SLT6DCVH6GJ,,A2681,COMPLETED,Sprout Social,NEW,ADP000,,,,,,,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",67,25-Jul-24,,SLXQLGCXVY9,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",F2.68,25-Jul-24,,SK7WMQQ67GK,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",69,25-Jul-24,,SFNW1CP2XJ0,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",70,25-Jul-24,,SGK60L2DFVJ,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",F2.71,25-Jul-24,,SMHGX7C6Q0V,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",72,25-Jul-24,,SMGQ1GL4THR,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",73,25-Jul-24,,SH451652XW4,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",74,25-Jul-24,,SL6GVV6X2VM,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",75,21-Feb-24,,SC2YHTGC4MM,,A2681,COMPLETED,Sprout Social,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 10-Core GPU 16GB RAM 256GB SSD",M2,8,10,16,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",76,21-Feb-24,,SJ2DWQ3X0D4,,A2681,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",77,21-Feb-24,,SH2Y7X5146G,,A2681,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 16"" Apple",78,25-Jul-24,,SG75Y6KGQT4,,A2991,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 16"" Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD",M3 Pro,12,18,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 16"" Apple",F2.79,25-Jul-24,,SGPT97WXQ01,,A2991,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 16"" Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD",M3 Pro,12,18,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 16"" Apple",80,25-Jul-24,,SDQ2Y400F03,,A2991,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 16"" Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD",M3 Pro,12,18,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 16"" Apple",81,25-Jul-24,,SMW2QK0GQ9M,,A2991,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 16"" Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD",M3 Pro,12,18,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 16"" Apple",82,25-Jul-24,,SD5VV0RXV73,,A2991,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 16"" Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD",M3 Pro,12,18,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 16"" Apple",83,25-Jul-24,,SM4Y6V9F22H,,A2991,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 16"" Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD",M3 Pro,12,18,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 16"" Apple",84,25-Jul-24,,SJ0K7HYY07G,,A2991,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 16"" Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD",M3 Pro,12,18,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 16"" Apple",85,25-Jul-24,,SKJ92JQXWL3,,A2991,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 16"" Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD",M3 Pro,12,18,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 16"" Apple",86,25-Jul-24,,SJWGX9PXQ5M,,A2991,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 16"" Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD",M3 Pro,12,18,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 16"" Apple",87,25-Jul-24,,SD9XXG45J6N,,A2991,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 16"" Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD",M3 Pro,12,18,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Air 15"" Apple",F2.88,03-Jun-24,,SMKC6PJGC77,,A3114,COMPLETED,Sift,NEW,ADP000,"MacBook Air 15"" Apple M3 6-Core CPU 10-Core GPU 16GB RAM 512GB SSD",M3,6,10,16,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F6.89,27-Mar-24,,SK06K6W5YQT,,A2992,COMPLETED,Abnormal Security,NEW,ADP000,"MacBook Pro 14"" Apple M3 PRO 11-Core CPU 14-Core GPU 18GB RAM 512GB SSD",M3 PRO,11,14,18,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F6.90,27-Mar-24,,SJ14LYJRM2R,,A2992,COMPLETED,Abnormal Security,NEW,ADP000,"MacBook Pro 14"" Apple M3 PRO 11-Core CPU 14-Core GPU 18GB RAM 512GB SSD",M3 PRO,11,14,18,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F6.91,27-Mar-24,,SJHYPY6MDFR,,A2992,COMPLETED,Abnormal Security,NEW,ADP000,"MacBook Pro 14"" Apple M3 PRO 11-Core CPU 14-Core GPU 18GB RAM 512GB SSD",M3 PRO,11,14,18,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F6.92,27-Mar-24,,SMM670VW7V6,,A2992,COMPLETED,Abnormal Security,NEW,ADP000,"MacBook Pro 14"" Apple M3 PRO 11-Core CPU 14-Core GPU 18GB RAM 512GB SSD",M3 PRO,11,14,18,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F6.93,27-Mar-24,,SJVDPWDQGN2,,A2992,COMPLETED,Abnormal Security,NEW,ADP000,"MacBook Pro 14"" Apple M3 PRO 11-Core CPU 14-Core GPU 18GB RAM 512GB SSD",M3 PRO,11,14,18,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F6.94,27-Mar-24,,SMT26C637GP,,A2992,COMPLETED,Abnormal Security,NEW,ADP000,"MacBook Pro 14"" Apple M3 PRO 11-Core CPU 14-Core GPU 18GB RAM 512GB SSD",M3 PRO,11,14,18,512,,INCLUDED,IN STOCK
