#,Asset Type,Product,ASSET TAG,Receiving date,Keyboard,SERIAL NUMBER,PO,MODEL,ERASED,CUSTOMER,CONDITION,DIAG,HARDWARE TYPE,CPU TYPE,CPU CORES,GPU CORES,MEMORY,HARDDRIVE,STATUS,CHARGER,INCLUDED,INVENTORY,country
210,APPLE,MacBook Air 13  Apple,210,30-Sep-24,EN,SKHFHPG2F69,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M3 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M3,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
211,APPLE,MacBook Air 13  Apple,211,07-Oct-24,EN,SC7KJPV2TG6,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
212,APPLE,MacBook Air 13  Apple,212,07-Oct-24,EN,SCF3QK1Q0MP,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
213,APPLE,MacBook Air 13  Apple,213,07-Oct-24,EN,SGP1WLWFY10,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
214,APPLE,MacBook Air 13  Apple,214,07-Oct-24,EN,SK3YW52MHF6,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
215,APPLE,MacBook Air 13  Apple,215,07-Oct-24,EN,SGDY32439YF,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
216,APPLE,MacBook Air 13  Apple,216,27-Aug-24,EN,SL2L7KF07TC,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
218,APPLE,MacBook Pro 14  Apple,218,21-Oct-24,EN,SKJW2CP4DH3,,A2992,COMPLETED,Wise,NEW,ADP000,MacBook Pro 14  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
219,APPLE,MacBook Air 13  Apple,219,11-Oct-24,EN,SLYW6K04992,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
220,APPLE,MacBook Air 13  Apple,220,11-Oct-24,EN,SG240YGK21Y,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
